Crime_ID,Crime_Type,Date,Time,Location_ID,Officer_ID,Status
1,Assault,2024-07-09,23:00,1,27,Unsolved
2,Theft,2024-03-17,07:00,1,73,Solved
3,Fraud,2024-02-18,16:00,6,87,Solved
4,Robbery,2024-02-06,11:00,4,26,Solved
5,Robbery,2024-02-19,12:00,2,24,Unsolved
6,Theft,2024-09-27,17:00,3,62,Solved
7,Robbery,2024-03-14,15:00,8,4,Unsolved
8,Assault,2024-03-12,03:00,2,54,Unsolved
9,Robbery,2024-10-07,22:00,4,22,Solved
10,Assault,2024-03-21,05:00,1,84,Solved
11,Theft,2024-06-29,17:00,5,95,Unsolved
12,Fraud,2024-11-20,09:00,6,30,Unsolved
13,Burglary,2024-04-02,18:00,2,17,Solved
14,Assault,2024-04-12,01:00,6,23,Unsolved
15,Fraud,2024-09-20,09:00,4,17,Solved
16,Robbery,2024-07-07,09:00,6,60,Solved
17,Robbery,2024-01-10,08:00,7,33,Unsolved
18,Fraud,2024-06-11,10:00,2,43,Solved
19,Fraud,2024-11-15,07:00,6,30,Solved
20,Theft,2024-11-18,01:00,2,17,Solved
21,Assault,2024-09-10,19:00,6,44,Solved
22,Fraud,2024-03-09,11:00,7,16,Solved
23,Fraud,2024-05-01,08:00,2,18,Solved
24,Theft,2024-05-21,09:00,6,69,Solved
25,Cybercrime,2024-04-09,23:00,8,5,Unsolved
26,Assault,2024-05-08,10:00,1,21,Unsolved
27,Fraud,2024-02-04,03:00,3,77,Solved
28,Robbery,2024-07-17,14:00,8,31,Solved
29,Theft,2024-01-17,06:00,2,95,Unsolved
30,Cybercrime,2024-06-14,01:00,3,67,Solved
31,Cybercrime,2024-09-30,17:00,2,72,Unsolved
32,Assault,2024-06-15,07:00,4,3,Unsolved
33,Fraud,2024-05-07,17:00,7,97,Unsolved
34,Assault,2024-03-23,19:00,1,23,Solved
35,Cybercrime,2024-01-15,00:00,3,26,Solved
36,Robbery,2024-06-14,11:00,7,55,Unsolved
37,Fraud,2024-09-08,15:00,2,29,Solved
38,Theft,2024-08-21,19:00,7,30,Solved
39,Cybercrime,2024-06-10,08:00,8,19,Solved
40,Theft,2024-06-26,23:00,7,98,Unsolved
41,Assault,2024-07-24,21:00,3,36,Unsolved
42,Cybercrime,2024-04-09,00:00,8,61,Unsolved
43,Theft,2024-06-08,12:00,5,78,Solved
44,Assault,2024-07-05,23:00,7,26,Unsolved
45,Burglary,2024-05-04,08:00,4,69,Unsolved
46,Assault,2024-07-20,07:00,8,52,Unsolved
47,Assault,2024-11-28,20:00,4,42,Unsolved
48,Cybercrime,2024-10-11,06:00,1,26,Unsolved
49,Robbery,2024-11-05,01:00,6,55,Unsolved
50,Robbery,2024-07-05,18:00,7,92,Unsolved
51,Burglary,2024-08-10,03:00,5,99,Unsolved
52,Cybercrime,2024-09-26,14:00,1,96,Solved
53,Theft,2024-02-08,08:00,7,80,Unsolved
54,Burglary,2024-04-01,10:00,1,98,Solved
55,Theft,2024-03-28,23:00,6,48,Solved
56,Burglary,2024-05-03,16:00,8,11,Unsolved
57,Assault,2024-02-29,01:00,4,63,Solved
58,Fraud,2024-06-23,11:00,8,61,Unsolved
59,Cybercrime,2024-11-14,19:00,6,99,Solved
60,Cybercrime,2024-10-22,11:00,5,64,Unsolved
61,Robbery,2024-11-23,06:00,2,71,Unsolved
62,Cybercrime,2024-01-26,18:00,3,6,Solved
63,Theft,2024-10-15,13:00,1,88,Solved
64,Cybercrime,2024-06-07,00:00,3,49,Solved
65,Theft,2024-04-26,21:00,2,73,Unsolved
66,Cybercrime,2024-12-13,21:00,5,79,Unsolved
67,Burglary,2024-06-18,11:00,1,56,Unsolved
68,Assault,2024-07-04,16:00,5,42,Solved
69,Assault,2024-04-26,18:00,6,98,Unsolved
70,Cybercrime,2024-06-22,10:00,5,89,Solved
71,Theft,2024-08-29,13:00,3,30,Solved
72,Cybercrime,2024-12-07,13:00,1,38,Solved
73,Theft,2024-10-08,07:00,4,1,Unsolved
74,Robbery,2024-03-14,00:00,7,95,Unsolved
75,Fraud,2024-07-21,05:00,5,1,Solved
76,Cybercrime,2024-05-14,14:00,6,76,Solved
77,Burglary,2024-09-15,13:00,3,16,Solved
78,Robbery,2024-01-31,08:00,8,51,Solved
79,Fraud,2024-03-18,06:00,8,6,Unsolved
80,Theft,2024-07-25,02:00,3,65,Unsolved
81,Cybercrime,2024-12-13,22:00,4,4,Solved
82,Burglary,2024-12-18,01:00,8,84,Unsolved
83,Burglary,2024-10-25,19:00,3,77,Unsolved
